customer_id,account_id,customer_role,department,seniority,country,language,is_admin,created_at
cust_00001,acct_0001,designer,customer_success,manager,FR,en,False,2023-09-19T00:00:00Z
cust_00002,acct_0002,administrator,sales,director,FR,en,True,2023-04-05T00:00:00Z
cust_00003,acct_0003,developer,operations,vp,US,en,False,2023-01-15T00:00:00Z
cust_00004,acct_0004,finance_manager,operations,executive,US,en,False,2024-03-17T00:00:00Z
cust_00005,acct_0005,operations_lead,operations,vp,DE,en,True,2024-10-18T00:00:00Z
cust_00006,acct_0006,executive,operations,individual_contributor,GB,en,True,2023-09-25T00:00:00Z
cust_00007,acct_0007,developer,it,director,IN,en,False,2024-04-08T00:00:00Z
cust_00008,acct_0008,executive,sales,executive,FR,en,True,2023-06-28T00:00:00Z
cust_00009,acct_0009,developer,sales,individual_contributor,CA,en,False,2023-09-17T00:00:00Z
cust_00010,acct_0010,customer_success_manager,product,vp,AU,en,False,2024-07-07T00:00:00Z
cust_00011,acct_0011,developer,finance,individual_contributor,AU,en,False,2024-10-02T00:00:00Z
cust_00012,acct_0012,project_manager,product,manager,AU,en,False,2023-06-21T00:00:00Z
cust_00013,acct_0013,developer,finance,director,AU,en,False,2024-08-08T00:00:00Z
cust_00014,acct_0014,operations_lead,product,executive,GB,en,True,2024-06-16T00:00:00Z
cust_00015,acct_0015,operations_lead,it,director,CA,en,True,2023-09-22T00:00:00Z
cust_00016,acct_0016,administrator,product,executive,AU,en,True,2024-05-15T00:00:00Z
cust_00017,acct_0017,executive,it,manager,DE,en,True,2024-01-27T00:00:00Z
cust_00018,acct_0018,customer_success_manager,customer_success,vp,CA,en,False,2024-03-29T00:00:00Z
cust_00019,acct_0019,executive,product,director,IN,en,True,2023-09-07T00:00:00Z
cust_00020,acct_0020,administrator,finance,executive,FR,en,True,2024-05-08T00:00:00Z
cust_00021,acct_0021,developer,it,executive,AU,en,False,2024-02-05T00:00:00Z
cust_00022,acct_0022,project_manager,it,manager,AU,en,False,2024-07-20T00:00:00Z
cust_00023,acct_0023,designer,it,manager,DE,en,False,2023-09-07T00:00:00Z
cust_00024,acct_0024,designer,finance,manager,IN,en,False,2024-12-26T00:00:00Z
cust_00025,acct_0025,designer,customer_success,manager,CA,en,False,2023-11-03T00:00:00Z
cust_00026,acct_0018,customer_success_manager,it,individual_contributor,CA,en,False,2024-03-29T00:00:00Z
cust_00027,acct_0012,finance_manager,creative,vp,AU,en,False,2023-06-21T00:00:00Z
cust_00028,acct_0006,operations_lead,finance,manager,GB,en,True,2023-09-25T00:00:00Z
cust_00029,acct_0001,finance_manager,finance,director,FR,en,False,2023-09-19T00:00:00Z
cust_00030,acct_0001,executive,sales,executive,FR,en,True,2023-09-19T00:00:00Z
cust_00031,acct_0010,executive,operations,executive,AU,en,True,2024-07-07T00:00:00Z
cust_00032,acct_0021,developer,sales,individual_contributor,AU,en,False,2024-02-05T00:00:00Z
cust_00033,acct_0003,administrator,product,manager,US,en,True,2023-01-15T00:00:00Z
cust_00034,acct_0001,project_manager,finance,individual_contributor,FR,en,False,2023-09-19T00:00:00Z
cust_00035,acct_0019,administrator,finance,manager,IN,en,True,2023-09-07T00:00:00Z
cust_00036,acct_0023,finance_manager,operations,manager,DE,en,False,2023-09-07T00:00:00Z
cust_00037,acct_0017,developer,customer_success,manager,DE,en,False,2024-01-27T00:00:00Z
cust_00038,acct_0024,finance_manager,sales,vp,IN,en,False,2024-12-26T00:00:00Z
cust_00039,acct_0008,executive,customer_success,executive,FR,en,True,2023-06-28T00:00:00Z
cust_00040,acct_0009,project_manager,it,individual_contributor,CA,en,False,2023-09-17T00:00:00Z
cust_00041,acct_0020,designer,it,individual_contributor,FR,en,False,2024-05-08T00:00:00Z
cust_00042,acct_0018,designer,sales,manager,CA,en,False,2024-03-29T00:00:00Z
cust_00043,acct_0018,administrator,it,individual_contributor,CA,en,True,2024-03-29T00:00:00Z
cust_00044,acct_0009,customer_success_manager,sales,director,CA,en,False,2023-09-17T00:00:00Z
cust_00045,acct_0021,customer_success_manager,it,individual_contributor,AU,en,False,2024-02-05T00:00:00Z
cust_00046,acct_0024,designer,product,manager,IN,en,False,2024-12-26T00:00:00Z
cust_00047,acct_0018,project_manager,operations,director,CA,en,False,2024-03-29T00:00:00Z
cust_00048,acct_0010,developer,operations,vp,AU,en,False,2024-07-07T00:00:00Z
cust_00049,acct_0014,finance_manager,finance,manager,GB,en,False,2024-06-16T00:00:00Z
cust_00050,acct_0005,operations_lead,sales,manager,DE,en,True,2024-10-18T00:00:00Z
