customer_id,account_id,customer_role,department,seniority,country,language,is_admin,created_at
cust_00001,acct_0001,finance_manager,finance,manager,AU,en,False,2025-04-16T00:00:00Z
cust_00002,acct_0002,finance_manager,operations,director,AU,en,False,2023-08-07T00:00:00Z
cust_00003,acct_0003,executive,it,individual_contributor,FR,en,True,2024-11-15T00:00:00Z
cust_00004,acct_0004,designer,customer_success,individual_contributor,GB,en,False,2025-04-28T00:00:00Z
cust_00005,acct_0005,designer,creative,vp,IN,en,False,2023-08-22T00:00:00Z
cust_00006,acct_0006,developer,product,director,IN,en,False,2025-03-18T00:00:00Z
cust_00007,acct_0007,finance_manager,creative,director,GB,en,False,2023-08-14T00:00:00Z
cust_00008,acct_0008,developer,creative,executive,BR,en,False,2023-09-01T00:00:00Z
cust_00009,acct_0009,customer_success_manager,customer_success,director,BR,en,False,2024-07-08T00:00:00Z
cust_00010,acct_0010,customer_success_manager,operations,vp,DE,en,False,2023-06-03T00:00:00Z
cust_00011,acct_0011,finance_manager,operations,executive,IN,en,False,2024-08-30T00:00:00Z
cust_00012,acct_0012,developer,sales,vp,AU,en,False,2024-06-18T00:00:00Z
cust_00013,acct_0013,developer,sales,director,IN,en,False,2023-09-13T00:00:00Z
cust_00014,acct_0014,finance_manager,product,director,FR,en,False,2024-12-25T00:00:00Z
cust_00015,acct_0015,executive,product,executive,GB,en,True,2023-04-19T00:00:00Z
cust_00016,acct_0016,executive,operations,individual_contributor,DE,en,True,2024-04-15T00:00:00Z
cust_00017,acct_0017,administrator,customer_success,individual_contributor,AU,en,True,2024-10-29T00:00:00Z
cust_00018,acct_0018,developer,it,executive,AU,en,False,2024-04-24T00:00:00Z
cust_00019,acct_0019,designer,sales,director,IN,en,False,2023-04-01T00:00:00Z
cust_00020,acct_0020,finance_manager,it,manager,AU,en,False,2025-04-26T00:00:00Z
cust_00021,acct_0021,executive,finance,vp,IN,en,True,2024-05-10T00:00:00Z
cust_00022,acct_0022,administrator,creative,individual_contributor,GB,en,True,2024-05-08T00:00:00Z
cust_00023,acct_0023,developer,creative,individual_contributor,US,en,False,2023-08-16T00:00:00Z
cust_00024,acct_0024,operations_lead,sales,executive,GB,en,True,2023-03-24T00:00:00Z
cust_00025,acct_0025,project_manager,sales,executive,IN,en,False,2023-01-12T00:00:00Z
cust_00026,acct_0026,executive,finance,director,DE,en,True,2024-07-30T00:00:00Z
cust_00027,acct_0027,project_manager,customer_success,executive,CA,en,False,2023-01-26T00:00:00Z
cust_00028,acct_0028,executive,operations,executive,DE,en,True,2024-07-30T00:00:00Z
cust_00029,acct_0029,operations_lead,sales,manager,FR,en,True,2023-12-18T00:00:00Z
cust_00030,acct_0030,project_manager,customer_success,vp,DE,en,False,2024-07-18T00:00:00Z
cust_00031,acct_0031,developer,finance,vp,BR,en,False,2024-05-03T00:00:00Z
cust_00032,acct_0032,project_manager,operations,executive,DE,en,False,2025-03-28T00:00:00Z
cust_00033,acct_0033,project_manager,sales,individual_contributor,IN,en,False,2023-09-05T00:00:00Z
cust_00034,acct_0034,customer_success_manager,product,manager,CA,en,False,2024-06-23T00:00:00Z
cust_00035,acct_0035,developer,product,executive,BR,en,False,2023-08-20T00:00:00Z
cust_00036,acct_0036,customer_success_manager,it,director,IN,en,False,2024-02-06T00:00:00Z
cust_00037,acct_0037,operations_lead,operations,manager,BR,en,True,2024-11-18T00:00:00Z
cust_00038,acct_0038,developer,creative,manager,IN,en,False,2024-01-12T00:00:00Z
cust_00039,acct_0039,customer_success_manager,sales,individual_contributor,DE,en,False,2023-10-24T00:00:00Z
cust_00040,acct_0040,designer,product,executive,DE,en,False,2024-10-20T00:00:00Z
cust_00041,acct_0041,designer,finance,individual_contributor,GB,en,False,2025-01-23T00:00:00Z
cust_00042,acct_0042,administrator,sales,executive,AU,en,True,2023-12-21T00:00:00Z
cust_00043,acct_0043,executive,creative,individual_contributor,CA,en,True,2023-01-15T00:00:00Z
cust_00044,acct_0044,project_manager,customer_success,vp,DE,en,False,2024-05-01T00:00:00Z
